"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"1","health","~","innovation","c",0.0239733820578507,0.0544204099078402,0.440521894238745,0.659559158517293,-0.0826886613854228,0.130635425501124
"2","collaborative","~","health","a",0.141271314043377,0.0533649789381473,2.64726636933779,0.00811454081858098,0.0366778772888696,0.245864750797884
"3","innovation","~","collaborative","b",0.327511301627066,0.0486110146510395,6.73738871690189,1.61257673880755e-11,0.23223546365908,0.422787139595053
"4","health","~~","health","",0.994613711381257,0.0719549877382552,13.8227208793264,0,0.853584526906256,1.13564289585626
"5","collaborative","~~","collaborative","",0.975324152596913,0.070392713328233,13.8554703531471,0,0.837356969699524,1.1132913354943
"6","innovation","~~","innovation","",0.88843839026119,0.0641181867863228,13.8562619249037,0,0.762769053405985,1.01410772711639
"7","ab",":=","a*b","ab",0.0462679519449124,0.0189205130670484,2.44538569228822,0.0144697308561945,0.00918442776447811,0.0833514761253466
"8","total",":=","c+(a*b)","total",0.0702413340027631,0.0510144250365441,1.37689161354746,0.168545760452816,-0.0297451017608818,0.170227769766408
