,backgroundhealthcare,ehealth,health,healthcare,healthy,mhealth,mhealth4afrika,resultshealth,telehealth,unhealthy
150,0,0,0,3,0,0,0,0,1,0
172,0,0,2,2,0,0,0,0,1,0
191,0,0,7,0,0,0,0,0,12,0
212,0,0,0,3,0,0,0,0,2,0
